Category,Price,Rating,Stock,Discount,Final_Price,Price_Category,Rating_Label
Home & Garden,5548.0,1.87,In Stock,0.0,5548.0,Premium,Poor
Home & Garden,3045.0,4.76,In Stock,38.0,1887.9,Mid-Range,Excellent
Home & Garden,4004.0,3.05,In Stock,0.0,4004.0,Mid-Range,Good
Home & Garden,4808.0,1.49,In Stock,33.0,3221.36,Mid-Range,Poor
Home & Garden,1817.0,3.05,Out of Stock,23.0,1399.09,Budget,Good
Home & Garden,3522.0,3.05,In Stock,24.0,2676.72,Mid-Range,Good
Home & Garden,667.0,3.67,In Stock,41.0,393.53,Budget,Good
Electronics,7125.0,4.98,Out of Stock,7.0,6626.25,Premium,Excellent
Electronics,2777.0,2.68,In Stock,6.0,2610.38,Mid-Range,Average
Home & Garden,463.0,4.63,In Stock,3.0,449.11,Budget,Excellent
Electronics,1151.0,2.95,In Stock,26.0,851.74,Budget,Average
Electronics,3772.0,4.89,In Stock,45.0,2074.6,Mid-Range,Excellent
Home & Garden,7719.0,2.98,In Stock,4.0,7410.24,Luxury,Average
Home & Garden,8416.0,1.27,In Stock,29.0,5975.36,Luxury,Poor
Clothing,8530.0,3.25,In Stock,10.0,7677.0,Luxury,Good
Electronics,7936.0,3.03,In Stock,44.0,4444.16,Luxury,Good
Clothing,9319.0,3.48,In Stock,28.0,6709.68,Luxury,Good
Home & Garden,4962.0,4.1,In Stock,40.0,2977.2,Mid-Range,Excellent
Sports,2066.0,3.24,In Stock,30.0,1446.2,Budget,Good
Clothing,1784.0,3.25,In Stock,12.0,1569.92,Budget,Good
Home & Garden,5589.0,3.05,In Stock,39.0,3409.29,Premium,Good
Home & Garden,4962.0,3.05,Out of Stock,25.0,3721.5,Mid-Range,Good
Home & Garden,4176.0,2.26,In Stock,42.0,2422.08,Mid-Range,Average
Sports,407.0,2.77,In Stock,44.0,227.92,Budget,Average
Home & Garden,7011.0,3.05,In Stock,38.0,4346.82,Premium,Good
Home & Garden,8418.0,3.05,In Stock,24.0,6397.68,Luxury,Good
Home & Garden,3405.0,3.05,In Stock,48.0,1770.6,Mid-Range,Good
Sports,1732.0,3.24,In Stock,26.0,1281.68,Budget,Good
Clothing,5850.0,2.26,Out of Stock,43.0,3334.5,Premium,Average
Home & Garden,4962.0,2.36,In Stock,22.0,3870.36,Mid-Range,Average
Home & Garden,704.0,3.05,In Stock,47.0,373.12,Budget,Good
Home & Garden,2343.0,1.86,Out of Stock,17.0,1944.69,Budget,Poor
Home & Garden,4962.0,3.05,In Stock,24.0,3771.12,Mid-Range,Good
Home & Garden,1910.0,3.85,Out of Stock,14.0,1642.6,Budget,Good
Home & Garden,9307.0,3.05,Out of Stock,21.0,7352.53,Luxury,Good
Home & Garden,2331.0,3.95,In Stock,43.0,1328.67,Budget,Good
Sports,6164.0,4.31,Out of Stock,1.0,6102.36,Premium,Excellent
Clothing,8060.0,1.91,Out of Stock,43.0,4594.2,Luxury,Poor
Home & Garden,5607.0,4.79,In Stock,15.0,4765.95,Premium,Excellent
Home & Garden,4730.0,3.05,In Stock,30.0,3311.0,Mid-Range,Good
Home & Garden,9230.0,3.05,In Stock,8.0,8491.6,Luxury,Good
Home & Garden,1112.0,3.05,In Stock,38.0,689.44,Budget,Good
Home & Garden,4390.0,3.05,In Stock,34.0,2897.4,Mid-Range,Good
Home & Garden,8484.0,3.05,Out of Stock,36.0,5429.76,Luxury,Good
Sports,6415.0,4.98,Out of Stock,12.0,5645.2,Premium,Excellent
